#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-07-23T21:28:23 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ55b15c602f97	
#INFO	-out.max=unlimited	
#INFO	queryParameters=8	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/139/120&tab:{J/AJ/139/120/table2}&key:source=J/AJ/139/120/table2&HTTPPRM:&
#-source=J/AJ/139/120/table2
#-order=I
#-out=SN
#-out=Band
#-out=Tmax
#
#
#RESOURCE=yCat_51390120
#Name: J/AJ/139/120
#Title: Low-redshift Type-Ia supernovae (Folatelli+, 2010)
#Table	J_AJ_139_120_table2:
#Name: J/AJ/139/120/table2
#Title: Light-curve parameters
#Column	SN	(A6)	SN name \linkRole{observational properties }	[ucd=meta.id;meta.main]
#Column	Band	(A1)	Filter name	[ucd=instr.bandpass]
#Column	Tmax	(F7.2)	Julian Date of maximum; minus 2453000	[ucd=time.epoch;stat.max]
#SN|Band|Tmax
# | |d
#------|-|-------
2005el|r| 646.89
2005el|i| 643.75
2005el|Y| 642.35
2005el|J| 642.81
2005el|H| 642.22
2005el|K| 644.59
2005eq|B| 654.17
2005eq|V| 655.68
2005eq|u| 652.10
2005eq|g| 654.46
2005eq|r| 656.16
2005eq|i| 652.23
2005eq|Y| 649.80
2005eq|J| 650.64
2005eq|H| 650.24
2005eq|K| 651.28
2005hc|B| 667.14
2005hc|V| 668.88
2005hc|u| 666.28
2005hc|g| 667.69
2005hc|r| 669.01
2005hc|i| 665.13
2005hc|Y| 662.73
2005hc|J| 664.16
2005hc|H| 662.92
2005iq|B| 687.78
2005iq|V| 689.70
2005iq|u| 686.49
2005iq|g| 688.16
2005iq|r| 689.08
2005iq|i| 684.38
2005iq|Y| 683.67
2005iq|J| 684.33
2005iq|H| 684.21
2005ir|B| 685.60
2005ir|V| 688.25
2005ir|u| 683.37
2005ir|g| 685.81
2005ir|r| 687.61
2005ir|i| 681.96
2005kc|B| 697.75
2005kc|V| 699.56
2005kc|u| 696.50
2005kc|g| 698.39
2005kc|r| 699.92
2005kc|i| 695.40
2005kc|Y| 694.18
2005kc|J| 694.56
2005kc|H| 693.99
2005ke|B| 699.16
2005ke|V| 701.57
2005ke|u| 698.05
2005ke|g| 699.92
2005ke|r| 702.20
2005ke|i| 701.80
2005ke|Y| 701.41
2005ke|J| 700.50
2005ke|H| 701.76
2005ki|B| 705.59
2005ki|V| 706.70
2005ki|u| 702.77
2005ki|g| 706.13
2005ki|r| 707.03
2005ki|i| 701.33
2005ki|Y| 701.75
2005ki|J| 702.08
2005ki|H| 702.03
2005lu|B| 711.90
2005lu|V| 713.27
2005lu|u| 710.36
2005lu|g| 712.35
2005lu|r| 713.73
2005lu|i| 709.23
2005na|B| 740.02
2005na|V| 741.70
2005na|u| 738.81
2005na|g| 740.20
2005na|r| 742.25
2005na|i| 737.51
2005na|Y| 735.52
2005na|J| 736.69
2005na|H| 736.14
2006D |B| 757.95
2006D |V| 759.24
2006D |u| 755.54
2006D |g| 758.20
2006D |r| 758.60
2006D |i| 755.23
2006D |Y| 754.38
2006D |J| 754.81
2006D |H| 754.47
2006D |K| 755.63
2006X |B| 786.15
2006X |V| 788.91
2006X |u| 784.55
2006X |g| 787.79
2006X |r| 788.77
2006X |i| 784.54
2006X |Y| 777.62
2006X |J| 782.77
2006X |H| 781.69
2006X |K| 783.95
2006ax|B| 827.40
2006ax|V| 828.51
2006ax|u| 825.70
2006ax|g| 827.65
2006ax|r| 828.74
2006ax|i| 824.06
2006ax|Y| 823.46
2006ax|J| 823.85
2006ax|H| 823.58
2006ax|K| 824.53
2006bh|B| 833.73
2006bh|V| 834.88
2006bh|u| 831.88
2006bh|g| 834.48
2006bh|r| 835.03
2006bh|i| 830.36
2006bh|Y| 830.12
2006bh|J| 830.56
2006bh|H| 830.26
2006eq|B| 977.11
2006eq|V| 979.02
2006eq|u| 975.45
2006eq|g| 977.80
2006eq|r| 979.08
2006eq|i| 976.88
2006eq|Y| 975.41
2006eq|J| 976.21
2006eq|H| 977.27
2006gt|B|1004.01
2006gt|V|1005.53
2006gt|u|1001.53
2006gt|g|1004.63
2006gt|r|1005.65
2006gt|i|1002.49
2006gt|Y|1002.92
2006gt|J|1003.29
2006gt|H|1004.08
2006mr|B|1050.94
2006mr|V|1052.83
2006mr|u|1049.46
2006mr|g|1051.37
2006mr|r|1053.72
2006mr|i|1054.59
2006mr|Y|1056.45
2006mr|J|1054.12
2006mr|H|1055.31
2006py|B|1070.57
2006py|V|1072.16
2006py|u|1069.35
2006py|g|1071.16
2006py|r|1072.56
2006py|i|1068.11
