#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-07-23T20:39:33 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ55b150d961bd	
#INFO	-out.max=unlimited	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/568/A22&tab:{J/A+A/568/A22/tablef3}&key:source=J/A+A/568/A22/tablef3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/568/A22/tablef3
#-order=I
#-out=Name
#-out=tmax
#-out=e_tmax
#
#
#RESOURCE=yCat_35680022
#Name: J/A+A/568/A22
#Title: Joint analysis of the SDSS-II and SNLS SNe Ia (Betoule+, 2014)
#Table	J_A_A_568_A22_tablef3:
#Name: J/A+A/568/A22/tablef3
#Title: Supernovae light-curve parameters (download the \aFile{J/A+A/568/A22/tablef2.fit}{2220x2220 covariance matrix} [2240=740x3 for m_B_,x_1_,c])
#Column	Name	(a12)	Supernovae name	[ucd=meta.id;meta.main]
#Column	tmax	(F9.3)	MJD corresponding to of peak brightness	[ucd=time.epoch]
#Column	e_tmax	(F6.3)	Error in tmax	[ucd=stat.error]
#Name|tmax|e_tmax
# |d|d
#------------|---------|------
04D1pd      |53318.504| 0.675
04D1pg      |53326.888| 0.243
04D1pp      |53320.365| 0.342
04D1pu      |53330.125| 0.492
04D1qd      |53329.536| 0.368
04D1rh      |53350.854| 0.260
04D1rx      |53352.515| 0.843
04D1sa      |53360.231| 0.322
04D1si      |53359.930| 0.367
04D1sk      |53355.272| 0.524
04D2al      |53034.722| 1.164
04D2an      |53031.163| 0.690
04D2cf      |53075.840| 0.924
04D2fp      |53107.439| 0.161
04D2fs      |53107.698| 0.128
04D2gb      |53108.401| 0.207
04D2gc      |53118.117| 0.254
04D2gp      |53110.450| 0.585
04D2iu      |53120.736| 0.517
04D2ja      |53123.200| 0.479
04D2kr      |53359.385| 0.421
04D2mc      |53367.172| 0.132
04D2mh      |53376.332| 0.246
04D2mj      |53374.440| 0.269
04D3co      |53101.472| 0.261
04D3cy      |53101.095| 0.264
04D3dd      |53113.477| 1.147
04D3df      |53119.610| 0.190
04D3do      |53112.990| 0.263
04D3ez      |53115.466| 0.130
04D3fk      |53126.932| 0.083
04D3fq      |53120.156| 0.498
04D3gt      |53137.867| 0.148
04D3gx      |53125.846| 0.515
04D3hn      |53137.153| 0.180
04D3kr      |53166.004| 0.120
04D3ks      |53163.232| 0.348
04D3lp      |53148.881| 0.859
04D3lu      |53169.145| 0.400
04D3mk      |53179.534| 0.328
04D3ml      |53180.278| 0.591
04D3nc      |53187.937| 0.499
04D3nh      |53174.384| 0.100
04D3nr      |53185.906| 0.589
04D3ny      |53194.182| 0.625
04D3oe      |53195.271| 0.344
04D4an      |53183.690| 0.490
04D4bk      |53192.084| 0.485
04D4bq      |53193.681| 0.297
04D4dm      |53199.657| 0.580
04D4dw      |53200.719| 0.672
04D4fx      |53242.513| 0.219
04D4gg      |53246.783| 0.122
04D4hf      |53236.711| 1.441
04D4hu      |53256.877| 0.369
04D4ib      |53267.439| 0.290
04D4ic      |53256.305| 0.650
04D4id      |53261.695| 0.708
04D4ih      |53269.569| 0.424
04D4ii      |53273.865| 0.524
04D4im      |53285.344| 0.309
04D4in      |53278.572| 0.143
04D4jr      |53298.423| 0.154
04D4ju      |53293.122| 0.283
04D4jw      |53286.345| 0.608
04D4jy      |53289.060| 0.750
05D1az      |53603.188| 0.392
05D1cb      |53616.782| 0.300
05D1cc      |53607.889| 0.229
05D1ck      |53628.254| 0.263
05D1cl      |53627.265| 0.495
05D1dn      |53649.383| 0.329
05D1dx      |53666.525| 0.169
05D1ee      |53660.634| 0.202
05D1em      |53667.796| 0.394
05D1eo      |53667.103| 0.439
05D1er      |53667.198| 0.581
05D1hk      |53717.917| 0.116
05D1hm      |53696.057| 0.401
05D1if      |53715.518| 0.213
05D1ix      |53719.435| 0.133
05D1iz      |53694.622| 0.818
05D1ke      |53731.346| 0.342
05D1kl      |53742.927| 0.414
05D2ab      |53381.262| 0.102
05D2ac      |53374.628| 0.152
05D2ah      |53382.700| 0.063
05D2ay      |53375.299| 0.873
05D2bt      |53401.527| 0.246
05D2bv      |53404.215| 0.141
05D2bw      |53400.216| 0.454
05D2by      |53413.525| 0.771
05D2cb      |53423.025| 0.196
05D2ci      |53427.856| 0.272
05D2ck      |53416.818| 0.566
05D2ct      |53425.138| 0.457
05D2dt      |53450.659| 0.250
05D2dw      |53454.421| 0.129
05D2dy      |53441.495| 0.495
05D2eb      |53451.961| 0.229
05D2ec      |53440.359| 0.419
05D2fq      |53463.299| 0.463
05D2hc      |53471.684| 0.141
05D2he      |53467.626| 0.464
05D2ie      |53480.961| 0.129
05D2le      |53694.982| 0.412
05D2mp      |53711.644| 0.134
05D2my      |53703.150| 0.936
05D2nn      |53713.067| 0.611
05D2nt      |53727.528| 0.432
05D2ob      |53727.944| 0.952
05D3ax      |53399.921| 0.294
05D3cf      |53418.813| 0.211
05D3ci      |53432.375| 0.411
05D3cq      |53450.846| 0.835
05D3cx      |53450.038| 0.831
05D3dd      |53455.295| 0.109
05D3dh      |53442.397| 0.579
05D3gp      |53454.941| 0.355
05D3gv      |53466.613| 0.579
05D3ha      |53484.827| 0.349
05D3hh      |53479.611| 0.423
05D3hs      |53490.922| 0.273
05D3ht      |53489.256| 0.458
05D3jb      |53515.305| 0.249
05D3jh      |53492.654| 0.362
05D3jk      |53507.774| 0.231
05D3jq      |53501.008| 0.395
05D3jr      |53494.666| 0.267
05D3km      |53522.914| 0.439
05D3kp      |53530.046| 0.326
05D3kt      |53530.940| 0.270
05D3kx      |53534.171| 0.068
05D3la      |53535.900| 0.394
05D3lb      |53528.655| 0.253
05D3lc      |53527.666| 0.138
05D3lr      |53541.012| 0.310
05D3mh      |53558.054| 0.529
05D3mn      |53559.291| 0.323
05D3mq      |53575.758| 0.158
05D3mx      |53569.940| 0.152
05D3ne      |53570.816| 0.097
05D4af      |53536.785| 0.316
05D4ag      |53538.622| 0.482
05D4av      |53553.499| 0.262
05D4be      |53551.532| 0.194
05D4bf      |53551.045| 0.357
05D4bi      |53560.318| 0.536
05D4bj      |53564.035| 0.346
05D4bm      |53568.062| 0.071
05D4cn      |53583.599| 0.388
05D4cq      |53586.375| 0.381
05D4cs      |53588.623| 0.310
05D4cw      |53580.414| 0.162
05D4dt      |53609.569| 0.173
05D4dw      |53613.933| 0.577
05D4dy      |53616.381| 0.694
05D4ef      |53625.593| 0.278
05D4ej      |53627.801| 0.189
05D4ek      |53635.630| 0.185
05D4ev      |53631.273| 0.334
05D4ff      |53635.847| 0.127
05D4fg      |53641.780| 0.413
05D4fo      |53658.222| 0.080
05D4gw      |53678.630| 0.696
05D4hn      |53693.945| 0.831
06D2bk      |53773.746| 0.319
06D2ca      |53795.694| 0.454
06D2cc      |53788.592| 0.445
06D2cd      |53790.303| 1.370
06D2ce      |53799.715| 1.276
06D2ck      |53793.709| 0.419
06D2fb      |53853.757| 0.080
06D2ga      |53869.081| 0.661
06D2gb      |53872.503| 0.328
06D3bz      |53776.527| 0.432
06D3cc      |53760.479| 0.737
06D3df      |53850.710| 0.369
06D3do      |53849.510| 1.294
06D3dt      |53849.030| 0.228
06D3ed      |53876.178| 0.136
06D3el      |53894.380| 0.121
06D3em      |53881.734| 0.586
06D3en      |53881.408| 0.950
06D3et      |53894.160| 0.191
06D3fp      |53905.334| 0.081
06D3gh      |53922.828| 0.374
06D3gn      |53921.237| 0.091
06D3gx      |53934.639| 0.851
06D4ba      |53904.778| 0.502
06D4bo      |53918.738| 0.276
06D4bw      |53909.336| 0.472
06D4ce      |53926.822| 0.633
06D4cl      |53938.076| 0.591
06D4co      |53940.306| 0.159
06D4cq      |53947.436| 0.107
06D4dh      |53956.882| 0.067
Aphrodite   |52552.128| 0.628
Eagle       |53295.095| 0.698
Elvis       |52782.897| 0.900
Gabi        |53488.739| 0.525
Lancaster   |53431.842| 1.598
Ombo        |53368.836| 0.553
Patuxent    |53200.957| 1.137
SDSS10028   |53693.660| 0.177
SDSS1032    |53626.521| 0.199
SDSS10434   |53696.471| 0.218
SDSS10805   |53698.688| 0.125
SDSS11067   |53702.778| 0.403
SDSS1112    |53630.086| 0.679
SDSS11206   |53697.222| 1.649
SDSS11300   |53699.544| 0.320
SDSS1241    |53635.371| 0.078
SDSS1253    |53634.280| 0.419
SDSS12779   |53971.726| 0.970
SDSS12781   |53979.309| 0.224
SDSS12843   |53982.099| 0.195
SDSS12853   |53979.293| 0.325
SDSS12855   |53996.150| 0.328
SDSS12856   |53996.914| 0.239
SDSS12860   |53993.777| 0.279
SDSS12869   |53978.987| 1.214
SDSS12881   |53980.300| 0.563
SDSS12883   |53980.131| 0.813
SDSS12898   |54002.481| 0.080
SDSS12927   |53988.936| 0.808
SDSS12928   |53972.953| 1.104
SDSS12930   |53979.680| 0.385
SDSS12950   |54000.046| 0.068
SDSS12971   |53976.633| 1.192
SDSS12972   |53980.993| 0.660
SDSS12977   |53994.909| 0.813
SDSS13005   |53964.573| 1.241
SDSS13025   |53990.652| 0.441
SDSS13038   |53988.649| 0.136
SDSS13044   |54003.156| 0.091
SDSS13045   |53993.298| 1.072
SDSS13070   |53986.572| 0.252
SDSS13072   |53988.922| 0.475
SDSS13099   |53995.225| 1.407
SDSS13135   |54003.618| 0.060
SDSS13136   |53993.709| 1.086
SDSS13152   |54001.232| 0.196
SDSS13254   |53994.278| 1.149
SDSS13305   |54003.846| 0.265
SDSS13354   |54006.606| 0.174
SDSS13411   |53987.460| 0.303
SDSS13425   |53993.012| 1.132
SDSS13506   |54000.581| 0.533
SDSS13511   |54002.620| 0.323
SDSS13578   |53998.759| 0.388
SDSS13610   |53997.009| 0.582
SDSS13641   |54004.831| 0.291
SDSS13655   |53999.850| 0.560
SDSS13689   |54000.150| 0.474
SDSS1371    |53633.311| 0.106
SDSS13727   |54004.880| 0.327
SDSS13736   |54015.786| 0.132
SDSS13757   |53993.750| 0.633
SDSS13796   |54010.412| 0.117
SDSS13830   |53990.929| 0.740
SDSS13835   |54011.463| 0.263
SDSS13894   |54013.688| 0.146
SDSS13934   |54007.418| 0.953
SDSS14019   |54012.202| 0.397
SDSS14024   |54011.162| 0.205
SDSS14108   |54010.211| 0.171
SDSS14157   |54013.951| 0.251
SDSS14212   |54012.949| 0.183
SDSS14261   |54018.808| 0.367
SDSS14279   |54022.046| 0.061
SDSS14284   |54014.578| 0.159
SDSS14298   |54012.467| 0.339
SDSS14318   |54072.074| 0.824
SDSS14331   |54013.474| 0.302
SDSS14397   |54013.924| 0.747
SDSS14421   |54010.902| 0.212
SDSS14437   |54009.821| 0.119
SDSS14451   |54011.802| 0.177
SDSS14456   |54018.664| 0.463
SDSS14481   |54020.190| 0.309
SDSS14735   |54013.808| 0.485
SDSS14816   |54021.316| 0.092
SDSS14846   |54024.974| 0.280
SDSS14871   |54027.354| 0.124
SDSS14979   |54025.603| 0.143
SDSS14984   |54024.802| 0.320
SDSS15057   |54017.260| 0.389
SDSS15129   |54023.824| 0.251
SDSS15132   |54026.527| 0.139
SDSS15161   |54025.357| 0.359
SDSS15171   |54029.169| 0.136
SDSS15201   |54028.287| 0.396
SDSS15203   |54027.180| 0.268
SDSS15213   |54026.323| 0.664
SDSS15219   |54030.969| 0.334
SDSS15222   |54031.122| 0.250
SDSS15229   |54033.215| 0.300
SDSS15234   |54032.802| 0.198
SDSS15259   |54026.334| 0.270
SDSS15287   |54030.381| 0.329
SDSS15301   |54035.912| 0.215
SDSS15354   |54024.623| 0.494
SDSS15356   |54029.242| 0.461
SDSS15365   |54038.074| 0.184
SDSS15383   |54030.555| 0.709
SDSS15421   |54035.160| 0.227
SDSS15425   |54038.061| 0.150
SDSS15433   |54037.383| 0.250
SDSS15440   |54030.999| 0.416
SDSS15443   |54041.289| 0.168
SDSS15453   |54038.181| 0.182
SDSS15456   |54030.298| 0.751
SDSS15461   |54036.984| 0.173
SDSS15466   |54036.652| 0.353
SDSS15467   |54038.902| 0.195
SDSS15504   |54039.809| 0.570
SDSS15508   |54041.563| 0.092
SDSS15583   |54041.009| 0.189
SDSS15584   |54038.129| 0.391
SDSS15648   |54042.569| 0.290
SDSS15674   |54040.283| 0.233
SDSS15704   |54043.003| 0.686
SDSS15756   |54035.760| 0.821
SDSS15776   |54033.830| 0.490
SDSS1580    |53634.026| 0.205
SDSS15868   |54044.254| 0.220
SDSS15872   |54047.769| 0.206
SDSS15897   |54041.524| 0.223
SDSS15901   |54045.458| 0.204
SDSS16021   |54049.120| 0.114
SDSS16032   |54046.405| 0.178
SDSS16069   |54050.757| 0.185
SDSS16072   |54046.850| 0.490
SDSS16073   |54051.435| 0.157
SDSS16093   |54045.023| 0.638
SDSS16099   |54054.439| 0.307
SDSS16100   |54048.043| 0.255
SDSS16106   |54045.425| 0.303
SDSS16116   |54053.282| 0.233
SDSS16165   |54052.896| 0.192
SDSS16185   |54053.891| 0.147
SDSS16206   |54056.990| 0.248
SDSS16211   |54041.487| 0.576
SDSS16213   |54053.581| 0.414
SDSS16232   |54045.029| 0.843
SDSS16259   |54052.309| 0.199
SDSS16276   |54057.369| 0.366
SDSS16281   |54055.403| 0.345
SDSS16350   |54054.128| 0.442
SDSS16352   |54059.082| 0.673
SDSS16402   |54059.492| 0.554
SDSS16473   |54062.360| 0.840
SDSS16618   |54067.262| 0.702
SDSS16619   |54069.581| 0.683
SDSS16641   |54069.198| 0.628
SDSS16737   |54068.757| 0.946
SDSS16793   |54070.763| 1.932
SDSS17168   |54356.948| 0.287
SDSS17171   |54340.662| 1.432
SDSS17186   |54353.811| 0.187
SDSS17208   |54342.030| 1.034
SDSS17215   |54350.994| 0.722
SDSS17218   |54349.498| 0.544
SDSS17220   |54356.923| 0.288
SDSS17223   |54347.004| 1.623
SDSS17240   |54337.326| 1.137
SDSS17253   |54341.618| 1.335
SDSS17258   |54342.580| 0.646
SDSS17274   |54352.880| 2.337
SDSS17280   |54343.803| 0.929
SDSS17332   |54358.077| 0.242
SDSS17340   |54356.407| 0.393
SDSS17366   |54351.464| 0.251
SDSS17389   |54352.993| 0.396
SDSS17435   |54359.362| 0.297
SDSS17464   |54358.584| 1.174
SDSS17497   |54364.735| 0.121
SDSS17552   |54357.268| 0.495
SDSS17605   |54352.593| 0.920
SDSS17629   |54370.400| 0.112
SDSS17745   |54372.434| 0.134
SDSS17784   |54367.037| 0.075
SDSS17791   |54366.713| 0.553
SDSS17801   |54365.722| 0.330
SDSS17809   |54370.575| 0.319
SDSS17811   |54355.288| 0.273
SDSS17825   |54367.018| 0.157
SDSS17875   |54362.456| 0.402
SDSS17880   |54363.271| 0.157
SDSS17884   |54369.033| 0.271
SDSS1794    |53624.720| 0.553
SDSS18030   |54373.103| 0.201
SDSS18091   |54372.177| 0.583
SDSS18241   |54372.950| 0.157
SDSS18298   |54374.326| 0.212
SDSS18323   |54375.479| 0.162
SDSS18325   |54378.649| 0.427
SDSS18375   |54383.897| 0.219
SDSS18415   |54381.429| 0.244
SDSS18463   |54376.516| 0.431
SDSS18466   |54381.411| 0.342
SDSS18485   |54388.938| 0.454
SDSS18486   |54390.103| 0.284
SDSS18602   |54393.769| 0.133
SDSS18604   |54387.374| 0.208
SDSS18612   |54383.705| 0.173
SDSS18617   |54381.322| 1.260
SDSS18650   |54387.865| 0.129
SDSS18697   |54384.431| 0.193
SDSS18721   |54371.389| 0.737
SDSS18740   |54391.806| 0.108
SDSS18749   |54385.106| 0.433
SDSS18768   |54378.986| 0.391
SDSS18787   |54387.250| 0.449
SDSS18804   |54392.809| 0.174
SDSS18807   |54390.271| 0.236
SDSS18809   |54383.154| 0.268
SDSS18835   |54392.387| 0.117
SDSS18855   |54385.975| 0.208
SDSS18927   |54386.818| 0.405
SDSS18940   |54396.725| 0.191
SDSS18945   |54390.387| 0.436
SDSS18965   |54395.342| 0.188
SDSS19002   |54393.131| 0.285
SDSS19008   |54392.649| 0.349
SDSS19023   |54389.836| 0.279
SDSS19027   |54386.552| 0.627
SDSS19067   |54386.860| 0.850
SDSS19101   |54395.198| 0.174
SDSS19128   |54387.047| 0.639
SDSS19149   |54398.827| 0.165
SDSS19155   |54399.683| 0.069
SDSS19174   |54394.885| 0.190
SDSS19207   |54382.873| 0.760
SDSS19230   |54390.411| 0.428
SDSS19282   |54397.434| 0.163
SDSS19341   |54393.204| 0.315
SDSS19353   |54398.628| 0.134
SDSS19425   |54392.869| 0.422
SDSS19543   |54401.006| 0.120
SDSS19596   |54396.521| 0.430
SDSS19604   |54396.259| 0.785
SDSS19616   |54403.533| 0.139
SDSS19632   |54396.714| 0.448
SDSS19658   |54401.812| 0.184
SDSS19702   |54397.226| 0.392
SDSS19757   |54400.464| 0.829
SDSS19775   |54404.426| 0.183
SDSS19794   |54396.130| 0.594
SDSS19818   |54402.147| 0.405
SDSS19899   |54418.760| 0.163
SDSS19913   |54406.143| 0.350
SDSS19940   |54407.779| 0.177
SDSS19953   |54415.144| 0.159
SDSS19968   |54412.677| 0.103
SDSS19969   |54409.050| 0.235
SDSS19990   |54403.330| 0.298
SDSS19992   |54404.594| 0.456
SDSS20039   |54408.083| 0.510
SDSS20040   |54410.786| 0.500
SDSS20048   |54410.165| 0.358
SDSS20064   |54413.140| 0.120
SDSS20084   |54407.153| 0.252
SDSS20088   |54407.846| 0.225
SDSS20106   |54404.137| 0.797
SDSS20111   |54410.055| 0.490
SDSS20142   |54412.643| 0.485
SDSS20144   |54415.959| 0.542
SDSS2017    |53635.993| 0.558
SDSS20227   |54408.485| 0.534
SDSS20245   |54411.888| 0.588
SDSS2031    |53636.919| 0.139
SDSS20345   |54418.209| 0.538
SDSS20364   |54419.981| 0.859
SDSS20430   |54415.231| 0.380
SDSS20470   |54419.228| 0.370
SDSS20575   |54416.308| 0.446
SDSS20581   |54416.951| 0.397
SDSS20625   |54423.595| 0.175
SDSS20687   |54421.006| 0.727
SDSS20764   |54421.627| 0.346
SDSS21006   |54415.152| 0.527
SDSS2102    |53620.191| 0.503
SDSS21033   |54421.077| 0.556
SDSS21034   |54426.031| 0.280
SDSS21042   |54423.403| 0.745
SDSS21062   |54425.646| 0.302
SDSS21502   |54427.274| 0.207
SDSS21510   |54429.432| 0.303
SDSS2165    |53634.347| 0.465
SDSS21669   |54429.850| 0.902
SDSS21861   |54432.820| 0.921
SDSS22075   |54425.942| 0.329
SDSS2246    |53634.177| 0.329
SDSS2308    |53630.588| 0.136
SDSS2330    |53635.477| 0.496
SDSS2372    |53636.745| 0.222
SDSS2422    |53639.593| 0.342
SDSS2440    |53634.980| 0.327
SDSS2533    |53640.365| 0.641
SDSS2561    |53639.254| 0.146
SDSS2635    |53640.273| 0.170
SDSS2689    |53637.054| 0.189
SDSS2789    |53636.321| 0.491
SDSS2916    |53643.892| 0.164
SDSS2943    |53640.493| 0.522
SDSS2992    |53641.162| 0.195
SDSS3080    |53647.653| 0.143
SDSS3087    |53648.887| 0.140
SDSS3199    |53647.330| 0.372
SDSS3317    |53646.417| 0.169
SDSS3377    |53645.940| 0.323
SDSS3451    |53645.182| 0.306
SDSS3452    |53648.483| 0.272
SDSS3592    |53645.059| 0.062
SDSS3901    |53657.000| 0.091
SDSS4000    |53643.055| 0.772
SDSS4046    |53645.761| 0.512
SDSS4241    |53638.471| 0.715
SDSS4577    |53648.086| 0.717
SDSS4679    |53654.327| 0.636
SDSS5103    |53654.605| 0.150
SDSS5391    |53658.691| 0.568
SDSS5395    |53663.880| 0.148
SDSS5533    |53667.439| 0.328
SDSS5549    |53666.085| 0.104
SDSS5550    |53671.497| 0.204
SDSS5635    |53662.305| 0.314
SDSS5717    |53664.203| 0.316
SDSS5736    |53665.748| 0.280
SDSS5751    |53666.076| 0.120
SDSS5844    |53663.635| 0.528
SDSS5957    |53666.667| 0.379
SDSS5994    |53665.740| 0.266
SDSS6057    |53663.608| 0.101
SDSS6108    |53675.198| 0.614
SDSS6137    |53669.534| 1.077
SDSS6192    |53672.821| 0.522
SDSS6196    |53669.469| 0.518
SDSS6249    |53675.380| 0.651
SDSS6304    |53673.089| 0.271
SDSS6315    |53676.664| 0.332
SDSS6406    |53674.772| 0.105
SDSS6422    |53667.978| 0.258
SDSS6558    |53675.030| 0.091
SDSS6649    |53677.808| 0.600
SDSS6699    |53675.414| 0.577
SDSS6780    |53665.563| 0.399
SDSS6924    |53674.588| 0.652
SDSS6933    |53679.851| 0.232
SDSS6936    |53680.619| 0.313
SDSS7143    |53677.793| 0.577
SDSS7147    |53679.670| 0.136
SDSS722     |53610.851| 0.626
SDSS7243    |53686.288| 0.324
SDSS744     |53612.859| 0.783
SDSS7473    |53679.550| 0.247
SDSS7475    |53676.478| 0.548
SDSS7512    |53682.534| 0.353
SDSS762     |53625.149| 0.283
SDSS774     |53609.243| 0.997
SDSS7779    |53675.693| 0.600
SDSS7847    |53682.019| 0.367
SDSS8046    |53683.336| 0.465
SDSS8213    |53683.729| 0.292
SDSS8495    |53689.901| 0.345
SDSS8719    |53690.034| 0.106
SDSS8921    |53693.045| 0.198
SDSS9032    |53688.941| 0.493
SDSS9457    |53688.823| 0.517
SDSS9467    |53688.824| 0.336
Torngasek   |52693.622| 1.790
Vilas       |52726.208| 1.379
sn1990af    |48195.572| 0.138
sn1990o     |48076.401| 0.414
sn1992ae    |48804.258| 0.547
sn1992ag    |48806.376| 0.585
sn1992al    |48838.336| 0.127
sn1992bc    |48912.605| 0.065
sn1992bg    |48916.159| 0.456
sn1992bh    |48920.398| 0.433
sn1992bl    |48947.276| 0.335
sn1992bo    |48986.149| 0.069
sn1992bp    |48980.529| 0.208
sn1992bs    |48985.248| 0.464
sn1992p     |48718.558| 0.559
sn1993ag    |49316.726| 0.249
sn1993b     |49004.752| 0.806
sn1993h     |49067.465| 0.259
sn1993o     |49134.236| 0.117
sn1994m     |49475.168| 0.279
sn1994s     |49518.396| 0.244
sn1995ac    |49992.919| 0.133
sn1995ak    |50021.793| 0.388
sn1996bl    |50376.550| 0.170
sn1996bv    |50404.163| 0.614
sn1996c     |50129.045| 0.340
sn1997dg    |50720.336| 0.287
sn1997do    |50766.598| 0.116
sn1997e     |50468.057| 0.095
sn1998ab    |50914.149| 0.076
sn1998dx    |51071.927| 0.430
sn1998ef    |51113.763| 0.099
sn1998v     |50892.081| 0.292
sn1999aa    |51232.696| 0.045
sn1999ac    |51250.611| 0.079
sn1999ao    |51243.726| 0.744
sn1999aw    |51254.755| 0.194
sn1999bp    |51264.287| 0.233
sn1999cc    |51315.446| 0.128
sn1999dk    |51414.955| 0.342
sn1999dq    |51436.128| 0.038
sn1999gp    |51550.788| 0.127
sn2000ca    |51666.341| 0.140
sn2000cf    |51673.057| 0.322
sn2000cn    |51707.306| 0.068
sn2000dk    |51812.387| 0.098
sn2001az    |52031.080| 0.915
sn2001ba    |52034.361| 0.147
sn2001bf    |52046.760| 0.233
sn2001bt    |52063.996| 0.072
sn2001cn    |52072.933| 0.152
sn2001cz    |52103.927| 0.089
sn2001eh    |52170.154| 0.311
sn2001en    |52193.363| 0.327
sn2001ep    |52200.061| 0.083
sn2001fe    |52229.379| 0.244
sn2001v     |51973.908| 0.053
sn2002bf    |52338.364| 0.372
sn2002de    |52434.118| 0.163
sn2002dp    |52451.216| 0.133
sn2002ha    |52581.355| 0.106
sn2002hd    |52576.318| 0.629
sn2002he    |52586.205| 0.108
sn2002hu    |52592.572| 0.091
sn2002jy    |52634.379| 0.282
sn2002kf    |52639.563| 0.281
sn2003ch    |52726.284| 0.229
sn2003fa    |52807.526| 0.067
sn2003iv    |52934.295| 0.272
sn2003u     |52677.456| 0.138
sn2003w     |52680.425| 0.058
sn2004as    |53086.187| 0.146
sn2004eo    |53278.520| 0.032
sn2004ey    |53304.540| 0.022
sn2004gs    |53355.888| 0.056
sn2004gu    |53362.566| 0.117
sn2004l     |53031.303| 0.675
sn2004s     |53040.308| 0.291
sn2005ag    |53414.898| 0.085
sn2005al    |53430.552| 0.081
sn2005bg    |53469.935| 0.118
sn2005bo    |53478.747| 0.140
sn2005el    |53646.856| 0.050
sn2005eq    |53654.866| 0.089
sn2005eu    |53660.755| 0.102
sn2005hc    |53667.801| 0.034
sn2005iq    |53687.694| 0.041
sn2005ir    |53685.660| 0.048
sn2005kc    |53697.708| 0.031
sn2005ki    |53705.228| 0.050
sn2005lz    |53736.254| 0.129
sn2005ms    |53744.340| 0.055
sn2005na    |53740.726| 0.058
sn2006ac    |53781.849| 0.081
sn2006al    |53787.189| 0.677
sn2006an    |53790.529| 0.510
sn2006ar    |53813.674| 0.144
sn2006ax    |53827.499| 0.021
sn2006az    |53826.869| 0.072
sn2006bh    |53833.524| 0.040
sn2006bq    |53848.252| 0.181
